case_study,scenario,value,reference,variable
brackish,baseline,2020,nawi,basis_year
brackish,baseline,california,nawi,location_basis
brackish,baseline,30,nawi,plant_lifetime
brackish,baseline,0.0015,nawi,land_cost_factor
brackish,baseline,0.05,nawi,working_capital_factor
brackish,baseline,0.001,nawi,salaries_percent
brackish,baseline,0.9,nawi,benefits_cost_factor
brackish,baseline,0.008,nawi,maintenance_cost_factor
brackish,baseline,0.003,nawi,laboratory_cost_factor
brackish,baseline,0.002,nawi,insurance_taxes_cost_factor
brackish,baseline,0.7,nawi,default_cap_scaling_exp
brackish,baseline,0.7,nawi,default_opex_scaling_exp
brackish,baseline,0,nawi,cap_by_equity
brackish,baseline,0.05,nawi,debt_interest_rate
brackish,baseline,0.1,nawi,exp_return_on_equity
brackish,baseline,3.4,nawi,default_tpec_multiplier
brackish,baseline,1.65,nawi,default_tic_multiplier
brackish,baseline,0.0005,nawi,salary_cost_factor
brackish,baseline,1,nawi,utilization_factor
ashkelon,baseline,2020,nawi,basis_year
ashkelon,baseline,israel,nawi,location_basis
ashkelon,baseline,20,nawi,plant_lifetime
ashkelon,baseline,0.0015,nawi,land_cost_factor
ashkelon,baseline,0.05,nawi,working_capital_factor
ashkelon,baseline,0.001,nawi,salaries_percent
ashkelon,baseline,0.9,nawi,benefits_cost_factor
ashkelon,baseline,0.008,nawi,maintenance_cost_factor
ashkelon,baseline,0.003,nawi,laboratory_cost_factor
ashkelon,baseline,0.002,nawi,insurance_taxes_cost_factor
ashkelon,baseline,0.7,nawi,default_cap_scaling_exp
ashkelon,baseline,0.7,nawi,default_opex_scaling_exp
ashkelon,baseline,0,nawi,cap_by_equity
ashkelon,baseline,0.05,nawi,debt_interest_rate
ashkelon,baseline,0.1,nawi,exp_return_on_equity
ashkelon,baseline,3.4,nawi,default_tpec_multiplier
ashkelon,baseline,1.65,nawi,default_tic_multiplier
ashkelon,baseline,0.0005,nawi,salary_cost_factor
ashkelon,baseline,1,nawi,utilization_factor
beef,baseline,2020,nawi,basis_year
beef,baseline,illinois,nawi,location_basis
beef,baseline,20,nawi,plant_lifetime
beef,baseline,0.0015,nawi,land_cost_factor
beef,baseline,0.05,nawi,working_capital_factor
beef,baseline,0.001,nawi,salaries_percent
beef,baseline,0.9,nawi,benefits_cost_factor
beef,baseline,0.008,nawi,maintenance_cost_factor
beef,baseline,0.002667,nawi,laboratory_cost_factor
beef,baseline,0.001867,nawi,insurance_taxes_cost_factor
beef,baseline,0.7,nawi,default_cap_scaling_exp
beef,baseline,0.7,nawi,default_opex_scaling_exp
beef,baseline,0.4,nawi,cap_by_equity
beef,baseline,0.08,nawi,debt_interest_rate
beef,baseline,0.1,nawi,exp_return_on_equity
beef,baseline,3.4,nawi,default_tpec_multiplier
beef,baseline,1.65,nawi,default_tic_multiplier
beef,baseline,0.0005,nawi,salary_cost_factor
beef,baseline,1,nawi,utilization_factor
big_spring,baseline,2020,nawi,basis_year
big_spring,baseline,texas,nawi,location_basis
big_spring,baseline,30,nawi,plant_lifetime
big_spring,baseline,0.0015,nawi,land_cost_factor
big_spring,baseline,0.05,nawi,working_capital_factor
big_spring,baseline,0.001,nawi,salaries_percent
big_spring,baseline,0.9,nawi,benefits_cost_factor
big_spring,baseline,0.008,nawi,maintenance_cost_factor
big_spring,baseline,0.003,nawi,laboratory_cost_factor
big_spring,baseline,0.002,nawi,insurance_taxes_cost_factor
big_spring,baseline,0.7,nawi,default_cap_scaling_exp
big_spring,baseline,0.7,nawi,default_opex_scaling_exp
big_spring,baseline,0,nawi,cap_by_equity
big_spring,baseline,0.05,nawi,debt_interest_rate
big_spring,baseline,0.1,nawi,exp_return_on_equity
big_spring,baseline,3.4,nawi,default_tpec_multiplier
big_spring,baseline,1.65,nawi,default_tic_multiplier
big_spring,baseline,0.0005,nawi,salary_cost_factor
big_spring,baseline,1,nawi,utilization_factor
carlsbad,baseline,2020,nawi,basis_year
carlsbad,baseline,california,nawi,location_basis
carlsbad,baseline,20,nawi,plant_lifetime
carlsbad,baseline,0.0015,nawi,land_cost_factor
carlsbad,baseline,0.05,nawi,working_capital_factor
carlsbad,baseline,0.001,nawi,salaries_percent
carlsbad,baseline,0.9,nawi,benefits_cost_factor
carlsbad,baseline,0.008,nawi,maintenance_cost_factor
carlsbad,baseline,0.003,nawi,laboratory_cost_factor
carlsbad,baseline,0.002,nawi,insurance_taxes_cost_factor
carlsbad,baseline,0.7,nawi,default_cap_scaling_exp
carlsbad,baseline,0.7,nawi,default_opex_scaling_exp
carlsbad,baseline,0,nawi,cap_by_equity
carlsbad,baseline,0.05,nawi,debt_interest_rate
carlsbad,baseline,0.1,nawi,exp_return_on_equity
carlsbad,baseline,3.4,nawi,default_tpec_multiplier
carlsbad,baseline,1.65,nawi,default_tic_multiplier
carlsbad,baseline,0.0005,nawi,salary_cost_factor
carlsbad,baseline,1,nawi,utilization_factor
cherokee,baseline,2020,nawi,basis_year
cherokee,baseline,colorado,nawi,location_basis
cherokee,baseline,30,nawi,plant_lifetime
cherokee,baseline,0.0015,nawi,land_cost_factor
cherokee,baseline,0.05,nawi,working_capital_factor
cherokee,baseline,0.001,nawi,salaries_percent
cherokee,baseline,0.9,nawi,benefits_cost_factor
cherokee,baseline,0.008,nawi,maintenance_cost_factor
cherokee,baseline,0.003,nawi,laboratory_cost_factor
cherokee,baseline,0.002,nawi,insurance_taxes_cost_factor
cherokee,baseline,0.7,nawi,default_cap_scaling_exp
cherokee,baseline,0.7,nawi,default_opex_scaling_exp
cherokee,baseline,0.4,nawi,cap_by_equity
cherokee,baseline,0.08,nawi,debt_interest_rate
cherokee,baseline,0.1,nawi,exp_return_on_equity
cherokee,baseline,3.4,nawi,default_tpec_multiplier
cherokee,baseline,1.65,nawi,default_tic_multiplier
cherokee,baseline,0.0005,nawi,salary_cost_factor
cherokee,baseline,1,nawi,utilization_factor
damodar,baseline,2020,nawi,basis_year
damodar,baseline,wyoming,nawi,location_basis
damodar,baseline,30,nawi,plant_lifetime
damodar,baseline,0.0015,nawi,land_cost_factor
damodar,baseline,0.05,nawi,working_capital_factor
damodar,baseline,0.001,nawi,salaries_percent
damodar,baseline,0.9,nawi,benefits_cost_factor
damodar,baseline,0.008,nawi,maintenance_cost_factor
damodar,baseline,0.003,nawi,laboratory_cost_factor
damodar,baseline,0.002,nawi,insurance_taxes_cost_factor
damodar,baseline,0.7,nawi,default_cap_scaling_exp
damodar,baseline,0.7,nawi,default_opex_scaling_exp
damodar,baseline,0,nawi,cap_by_equity
damodar,baseline,0.05,nawi,debt_interest_rate
damodar,baseline,0.1,nawi,exp_return_on_equity
damodar,baseline,3.4,nawi,default_tpec_multiplier
damodar,baseline,1.65,nawi,default_tic_multiplier
damodar,baseline,0.0005,nawi,salary_cost_factor
damodar,baseline,1,nawi,utilization_factor
emwd,baseline,2020,nawi,basis_year
emwd,baseline,california,nawi,location_basis
emwd,baseline,30,nawi,plant_lifetime
emwd,baseline,0.0015,nawi,land_cost_factor
emwd,baseline,0.05,nawi,working_capital_factor
emwd,baseline,0.001,nawi,salaries_percent
emwd,baseline,0.9,nawi,benefits_cost_factor
emwd,baseline,0.008,nawi,maintenance_cost_factor
emwd,baseline,0.003,nawi,laboratory_cost_factor
emwd,baseline,0.002,nawi,insurance_taxes_cost_factor
emwd,baseline,0.7,nawi,default_cap_scaling_exp
emwd,baseline,0.7,nawi,default_opex_scaling_exp
emwd,baseline,0,nawi,cap_by_equity
emwd,baseline,0.05,nawi,debt_interest_rate
emwd,baseline,0.1,nawi,exp_return_on_equity
emwd,baseline,3.4,nawi,default_tpec_multiplier
emwd,baseline,1.65,nawi,default_tic_multiplier
emwd,baseline,0.0005,nawi,salary_cost_factor
emwd,baseline,1,nawi,utilization_factor
gila_river,baseline,1,nawi,utilization_factor
gila_river,baseline,2020,nawi,basis_year
gila_river,baseline,arizona,nawi,location_basis
gila_river,baseline,30,nawi,plant_lifetime
gila_river,baseline,0.0015,nawi,land_cost_factor
gila_river,baseline,0.05,nawi,working_capital_factor
gila_river,baseline,0.001,nawi,salaries_percent
gila_river,baseline,0.9,nawi,benefits_cost_factor
gila_river,baseline,0.008,nawi,maintenance_cost_factor
gila_river,baseline,0.003,nawi,laboratory_cost_factor
gila_river,baseline,0.002,nawi,insurance_taxes_cost_factor
gila_river,baseline,0.7,nawi,default_cap_scaling_exp
gila_river,baseline,0.7,nawi,default_opex_scaling_exp
gila_river,baseline,0.4,nawi,cap_by_equity
gila_river,baseline,0.08,nawi,debt_interest_rate
gila_river,baseline,0.1,nawi,exp_return_on_equity
gila_river,baseline,3.4,nawi,default_tpec_multiplier
gila_river,baseline,1.65,nawi,default_tic_multiplier
gila_river,baseline,0.0005,nawi,salary_cost_factor
heap_leaching,baseline,2020,nawi,basis_year
heap_leaching,baseline,arizona,nawi,location_basis
heap_leaching,baseline,30,nawi,plant_lifetime
heap_leaching,baseline,0.0015,nawi,land_cost_factor
heap_leaching,baseline,0.05,nawi,working_capital_factor
heap_leaching,baseline,0.001,nawi,salaries_percent
heap_leaching,baseline,0.9,nawi,benefits_cost_factor
heap_leaching,baseline,0.008,nawi,maintenance_cost_factor
heap_leaching,baseline,0.003,nawi,laboratory_cost_factor
heap_leaching,baseline,0.002,nawi,insurance_taxes_cost_factor
heap_leaching,baseline,0.7,nawi,default_cap_scaling_exp
heap_leaching,baseline,0.7,nawi,default_opex_scaling_exp
heap_leaching,baseline,0.4,nawi,cap_by_equity
heap_leaching,baseline,0.08,nawi,debt_interest_rate
heap_leaching,baseline,0.1,nawi,exp_return_on_equity
heap_leaching,baseline,3.4,nawi,default_tpec_multiplier
heap_leaching,baseline,1.65,nawi,default_tic_multiplier
heap_leaching,baseline,0.0005,nawi,salary_cost_factor
heap_leaching,baseline,1,nawi,utilization_factor
hrsd,baseline,2020,nawi,basis_year
hrsd,baseline,virginia,nawi,location_basis
hrsd,baseline,30,nawi,plant_lifetime
hrsd,baseline,0.0015,nawi,land_cost_factor
hrsd,baseline,0.05,nawi,working_capital_factor
hrsd,baseline,0.001,nawi,salaries_percent
hrsd,baseline,0.9,nawi,benefits_cost_factor
hrsd,baseline,0.008,nawi,maintenance_cost_factor
hrsd,baseline,0.003,nawi,laboratory_cost_factor
hrsd,baseline,0.002,nawi,insurance_taxes_cost_factor
hrsd,baseline,0.7,nawi,default_cap_scaling_exp
hrsd,baseline,0.7,nawi,default_opex_scaling_exp
hrsd,baseline,0,nawi,cap_by_equity
hrsd,baseline,0.05,nawi,debt_interest_rate
hrsd,baseline,0.1,nawi,exp_return_on_equity
hrsd,baseline,3.4,nawi,default_tpec_multiplier
hrsd,baseline,1.65,nawi,default_tic_multiplier
hrsd,baseline,0.0005,nawi,salary_cost_factor
hrsd,baseline,1,nawi,utilization_factor
iatan,baseline,2020,nawi,basis_year
iatan,baseline,missouri,nawi,location_basis
iatan,baseline,30,nawi,plant_lifetime
iatan,baseline,0.0015,nawi,land_cost_factor
iatan,baseline,0.05,nawi,working_capital_factor
iatan,baseline,0.001,nawi,salaries_percent
iatan,baseline,0.9,nawi,benefits_cost_factor
iatan,baseline,0.008,nawi,maintenance_cost_factor
iatan,baseline,0.003,nawi,laboratory_cost_factor
iatan,baseline,0.002,nawi,insurance_taxes_cost_factor
iatan,baseline,0.7,nawi,default_cap_scaling_exp
iatan,baseline,0.7,nawi,default_opex_scaling_exp
iatan,baseline,0.4,nawi,cap_by_equity
iatan,baseline,0.08,nawi,debt_interest_rate
iatan,baseline,0.1,nawi,exp_return_on_equity
iatan,baseline,3.4,nawi,default_tpec_multiplier
iatan,baseline,1.65,nawi,default_tic_multiplier
iatan,baseline,0.0005,nawi,salary_cost_factor
iatan,baseline,1,nawi,utilization_factor
iron_and_steel_a,baseline,2020,nawi,basis_year
iron_and_steel_a,baseline,ohio,nawi,location_basis
iron_and_steel_a,baseline,30,nawi,plant_lifetime
iron_and_steel_a,baseline,0.0015,nawi,land_cost_factor
iron_and_steel_a,baseline,0.05,nawi,working_capital_factor
iron_and_steel_a,baseline,0.001,nawi,salaries_percent
iron_and_steel_a,baseline,0.9,nawi,benefits_cost_factor
iron_and_steel_a,baseline,0.008,nawi,maintenance_cost_factor
iron_and_steel_a,baseline,0.003,nawi,laboratory_cost_factor
iron_and_steel_a,baseline,0.002,nawi,insurance_taxes_cost_factor
iron_and_steel_a,baseline,0.7,nawi,default_cap_scaling_exp
iron_and_steel_a,baseline,0.7,nawi,default_opex_scaling_exp
iron_and_steel_a,baseline,0.4,nawi,cap_by_equity
iron_and_steel_a,baseline,0.08,nawi,debt_interest_rate
iron_and_steel_a,baseline,0.1,nawi,exp_return_on_equity
iron_and_steel_a,baseline,3.4,nawi,default_tpec_multiplier
iron_and_steel_a,baseline,1.65,nawi,default_tic_multiplier
iron_and_steel_a,baseline,0.0005,nawi,salary_cost_factor
iron_and_steel_a,baseline,1,nawi,utilization_factor
iron_and_steel_b,baseline,2020,nawi,basis_year
iron_and_steel_b,baseline,ohio,nawi,location_basis
iron_and_steel_b,baseline,30,nawi,plant_lifetime
iron_and_steel_b,baseline,0.0015,nawi,land_cost_factor
iron_and_steel_b,baseline,0.05,nawi,working_capital_factor
iron_and_steel_b,baseline,0.001,nawi,salaries_percent
iron_and_steel_b,baseline,0.9,nawi,benefits_cost_factor
iron_and_steel_b,baseline,0.008,nawi,maintenance_cost_factor
iron_and_steel_b,baseline,0.003,nawi,laboratory_cost_factor
iron_and_steel_b,baseline,0.002,nawi,insurance_taxes_cost_factor
iron_and_steel_b,baseline,0.7,nawi,default_cap_scaling_exp
iron_and_steel_b,baseline,0.7,nawi,default_opex_scaling_exp
iron_and_steel_b,baseline,0.4,nawi,cap_by_equity
iron_and_steel_b,baseline,0.08,nawi,debt_interest_rate
iron_and_steel_b,baseline,0.1,nawi,exp_return_on_equity
iron_and_steel_b,baseline,3.4,nawi,default_tpec_multiplier
iron_and_steel_b,baseline,1.65,nawi,default_tic_multiplier
iron_and_steel_b,baseline,0.0005,nawi,salary_cost_factor
iron_and_steel_b,baseline,1,nawi,utilization_factor
irwin,baseline,2020,nawi,basis_year
irwin,baseline,california,nawi,location_basis
irwin,baseline,30,nawi,plant_lifetime
irwin,baseline,0.0015,nawi,land_cost_factor
irwin,baseline,0.05,nawi,working_capital_factor
irwin,baseline,0.001,nawi,salaries_percent
irwin,baseline,0.9,nawi,benefits_cost_factor
irwin,baseline,0.008,nawi,maintenance_cost_factor
irwin,baseline,0.003,nawi,laboratory_cost_factor
irwin,baseline,0.002,nawi,insurance_taxes_cost_factor
irwin,baseline,0.7,nawi,default_cap_scaling_exp
irwin,baseline,0.7,nawi,default_opex_scaling_exp
irwin,baseline,0,nawi,cap_by_equity
irwin,baseline,0.05,nawi,debt_interest_rate
irwin,baseline,0.1,nawi,exp_return_on_equity
irwin,baseline,3.4,nawi,default_tpec_multiplier
irwin,baseline,1.65,nawi,default_tic_multiplier
irwin,baseline,0.0005,nawi,salary_cost_factor
irwin,baseline,1,nawi,utilization_factor
kbhdp,baseline,2020,nawi,basis_year
kbhdp,baseline,texas,nawi,location_basis
kbhdp,baseline,30,nawi,plant_lifetime
kbhdp,baseline,0.0015,nawi,land_cost_factor
kbhdp,baseline,0.05,nawi,working_capital_factor
kbhdp,baseline,0.001,nawi,salaries_percent
kbhdp,baseline,0.9,nawi,benefits_cost_factor
kbhdp,baseline,0.008,nawi,maintenance_cost_factor
kbhdp,baseline,0.003,nawi,laboratory_cost_factor
kbhdp,baseline,0.002,nawi,insurance_taxes_cost_factor
kbhdp,baseline,0.7,nawi,default_cap_scaling_exp
kbhdp,baseline,0.7,nawi,default_opex_scaling_exp
kbhdp,baseline,0,nawi,cap_by_equity
kbhdp,baseline,0.05,nawi,debt_interest_rate
kbhdp,baseline,0.1,nawi,exp_return_on_equity
kbhdp,baseline,3.4,nawi,default_tpec_multiplier
kbhdp,baseline,1.65,nawi,default_tic_multiplier
kbhdp,baseline,0.0005,nawi,salary_cost_factor
kbhdp,baseline,1,nawi,utilization_factor
kern_county,baseline,2020,nawi,basis_year
kern_county,baseline,california,nawi,location_basis
kern_county,baseline,30,nawi,plant_lifetime
kern_county,baseline,0.0015,nawi,land_cost_factor
kern_county,baseline,0.05,nawi,working_capital_factor
kern_county,baseline,0.001,nawi,salaries_percent
kern_county,baseline,0.9,nawi,benefits_cost_factor
kern_county,baseline,0.008,nawi,maintenance_cost_factor
kern_county,baseline,0.003,nawi,laboratory_cost_factor
kern_county,baseline,0.002,nawi,insurance_taxes_cost_factor
kern_county,baseline,0.7,nawi,default_cap_scaling_exp
kern_county,baseline,0.7,nawi,default_opex_scaling_exp
