case_study,scenario,unit_process,recovery,reference
san_luis,baseline,abmet_intermediate_pump,0.9999,Defined based on the San Luis case study data.
default,default,abmet_intermediate_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,abmet_interstage_pump,0.9999,Defined based on the San Luis case study data.
default,default,abmet_interstage_pump,0.9999,Defined based on the San Luis case study data.
pulp_and_paper,baseline,aeration_basin,0.9999,Defined based on the Pulp and Paper case study data.
default,default,aeration_basin1,0.9999,
default,default,aeration_basin2,0.9999,
default,default,aeration_tank,0.9999,Defined based on the Iron and Steel case study data.
iron_and_steel_b,baseline,aeration_tank,0.9999,Defined based on the Iron and Steel case study data.
heap_leaching,baseline,agglom_stacking,0.9999,Heap leaching (gold/copper) case study.
default,default,agglom_stacking,0.9999,
default,default,agriculture,0.99999,
default,default,air_flotation,0.9999,
default,default,alum_addition,0.9999,Based on Vogtle case study data. No costs for WT3 treatment.
default,default,ammonia_addition,0.9999,Based on costs for AQUA AMMONIA FEED 29% SOLUTION Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,default,anaerobic_digestion_oxidation,0.9999,Beef Processing case study. 
default,default,anion_exchange,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,anion_exchange_epa,calculated,No specific references were identified. Costs are based on seemingly comparable addition systems. 
default,default,backwash_solids_handling,0.95,Texas Water Development Board IT3PR User Manual
default,default,band_screen,0.99999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
san_luis,baseline,bio_active_filtration,0.99,Defined based on the San Luis case study data.
default,default,bio_active_filtration,0.99,Defined based on the San Luis case study data.
default,default,bioreactor,0.97,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor,0.97,Defined based on the San Luis case study data.
default,default,bioreactor_bw_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor_bw_pump,0.9999,Defined based on the San Luis case study data.
default,default,bioreactor_effluent_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor_effluent_pump,0.9999,Defined based on the San Luis case study data.
default,default,bioreactor_feed_pump,0.9999,Defined based on the San Luis case study data.
san_luis,baseline,bioreactor_feed_pump,0.9999,Defined based on the San Luis case study data.
default,default,blending_reservoir,0.999,
default,default,brine_concentrator,0.9,Survey of High-Recovery and Zero Liquid Discharge Technologies for Water Utilities (2008).
default,default,buffer_tank,0.9999,Texas Water Development Board IT3PR User Manual
default,default,cartridge_filtration,0.9999,Defined based on the Carlsbad case study data.
default,default,cas,0.9999,Texas Water Development Board IT3PR User Manual
default,default,cas_denitrif,0.9999,Texas Water Development Board IT3PR User Manual
default,default,cas_nitrif,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,cation_exchange,0.9999,
default,default,chlorination,0.9999,Based on costs for Chlorine Storage and Feed from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,default,clarifier,0.999,
default,default,coag_and_floc,0.9,Based on costs for Aluminum Sulfate (Liquid Alum Feed) from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,default,cooling_supply,0.9999,Based on Vogtle case study data. No costs for WT3 treatment.
default,default,cooling_tower,0.25,
default,default,crystallizer,0.95,Default value based on 5% purge rate per source. Survey of High-Recovery and Zero Liquid Discharge Technologies for Water Utilities (2008).
default,default,decarbonator,0.9999,Survey of High-Recovery and Zero Liquid Discharge Technologies for Water Utilities (2008).
default,default,deep_well_injection,0.9999,Texas Water Development Board IT3PR User Manual
default,default,discharge,0.9999,Beef Processing case study. 
default,default,dissolved_air_flotation,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,drainage_sump_pump1,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,drainage_sump_pump2,0.9999,"(1) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (2) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,drum_screen,0.99999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,dual_media_filtration,0.99,Placeholder. Not utilized in any case studies. 
default,default,electrocoagulation,0.99,Texas Water Development Board IT3PR User Manual
default,default,electrodialysis_reversal,0.9214,Texas Water Development Board IT3PR User Manual
default,default,energy_recovery,0.9999,
default,default,evaporation_pond,0.9,Survey of High-Recovery and Zero Liquid Discharge Technologies for Water Utilities (2008).
default,default,feed_water_tank,0.9999,Based on costs for Ferric Choride Feed from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,default,filter_press,0.9999,
default,default,fixed_bed_gravity_basin,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,fixed_bed_pressure_vessel,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,flocculator,0.9999,Based on costs for Aluminum Sulfate (Liquid Alum Feed) from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)
default,default,fluidized_bed,0.9999,Placeholder. Not utilized in any case studies. 
default,default,gac_gravity,0.96,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,gac_pressure_vessel,0.96,Heap leaching (gold/copper) case study.
default,default,gravity_thickener,0.85,Estimated from EPA Biosolids Technology Factsheet
default,default,heap_leaching,0.9,DOE/NETL-2002/1169 - Process Equipment Cost Estimation
default,default,industrial,0.9999,Based on cost and flow data from the KBHDP case study data.
default,default,injection_well,0.9999,
default,default,injection_well_disposal,0.9999,
default,default,intrusion_mitigation,0.99999,"(1) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (2) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura), (3) https://www.lenntech.com/schema-of-an-iron-removal-system.htm, (4) https://www.osti.gov/servlets/purl/797810/"
default,default,ion_exchange,0.95,Environmental Ion Exchange: Principles and Design; Wachinski
irwin,baseline,ion_exchange,0.9999,Environmental Ion Exchange: Principles and Design; Wachinski
default,default,iron_and_manganese_removal,0.9999,
default,default,irrigation,0.9999,
default,default,lime_softening,0.99,Texas Water Development Board IT3PR User Manual
default,default,mbr_nitrification,0.9999,"(1) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (2) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,media_filtration,0.99,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,micro_screen,0.99999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,microfiltration,0.95,Texas Water Development Board IT3PR User Manual
default,default,microscreen_filtration,0.99999,
default,default,mining,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,multi_stage_bubble_aeration,0.9999,"Distribution costs are based on pump cost calculations in ""Pumping Station"" in VAR. Electricity consumption is based on 300-ft head pump and is consistent with Carslbad data."
default,default,municipal_wwtp,0.9999,Texas Water Development Board IT3PR User Manual
default,default,nano_filtration,0.85,Based on Vogtle case study data. No costs for WT3 treatment.
default,default,nanofiltration,0.8,Texas Water Development Board IT3PR User Manual
default,default,ozonation,0.9999,Texas Water Development Board IT3PR User Manual
default,default,ozone_aop,0.9999,EPA model: https://www.epa.gov/sdwa/drinking-water-treatment-technology-unit-cost-models
default,default,packed_tower_aeration,0.9999,
upw,baseline,passthrough,0.99,
upw,zld_a,passthrough,0.99,
upw,zld_b,passthrough,0.99,
upw,zld_c,passthrough,0.99,
default,default,ph_adjustment,0.9999,Defined based on the Iron and Steel case study data.
default,default,ph_decrease,0.99,
default,default,ph_increase,0.9999,Defined based on the Iron and Steel case study data.
iron_and_steel,baseline,ph_increase,0.9999,Defined based on the Iron and Steel case study data.
default,baseline,primary_separator,0.999,Defined based on the Iron and Steel case study data.
default,default,raw_water_pump,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,raw_water_pump1,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,raw_water_pump2,0.9999,"(1) https://www.engineeringtoolbox.com/water-pumping-costs-d_1527.html, (2) https://onlinelibrary.wiley.com/doi/pdf/10.1002/9780470260036.ch5, (3) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura)"
default,default,recharge_pump_well,0.9999,
default,default,reverse_osmosis,calculated,Calculated value for total TDS removal from DEEP 5.1 model from IAEA
default,default,screen,0.9999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,sedimentation,0.99,"(1) Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura), (2) Water and Wastewater Engineering: Design Principles and Practice (Mackenzie L. Davis)"
cherokee,baseline,settling_pond,0.9999,"Based on ""Sedimentation"" cost model. See references in VAR. There will be minimal water losses. "
default,default,settling_pond,0.9999,"Based on ""Sedimentation"" cost model. See references in VAR. There will be minimal water losses. "
default,default,sludge_tank,0.99999,
default,default,smp,0.9999,
default,default,sodium_bisulfite_addition,0.9999,Based on costs for Sulfuric Acid Addition from Cost Estimating Manual for Water Treatment Facilities (McGivney/Kawamura).
default,default,soil_aquifer_treatment,0.9999,Texas Water Development Board IT3PR User Manual
heap_leaching,baseline,solution_distribution_and_recovery_plant,0.922222222,Heap leaching (gold/copper) case study.
default,default,solution_distribution_and_recovery_plant,0.922222222,
default,default,tramp_oil_tank,0.9999,
default,default,tri_media_filtration,0.9,Texas Water Development Board IT3PR User Manual
san_luis,baseline,uf_feed_pump,0.9999,Defined based on the San Luis case study data.
default,default,uf_feed_pump,0.9999,Defined based on the San Luis case study data.
default,default,ultra_filtration,0.95,Texas Water Development Board IT3PR User Manual
default,default,ultrafiltration,0.95,Texas Water Development Board IT3PR User Manual
default,default,uv_aop,0.9999,Texas Water Development Board IT3PR User Manual
default,default,uv_irradiation,0.9999,Texas Water Development Board IT3PR User Manual
default,default,waiv,0.9999,
default,default,walnut_shell_filter,0.99,Defined based on the Kern County case study data.
default,default,wire_screen,0.99999,"Voutchkov, N. (2018). Desalination Project Cost Estimating and Management. Taylor & Francis, a CRC title, part of the Taylor & Francis imprint, a member of the Taylor & Francis Group, the academic division of T&F Informa, plc."
default,default,grit_chamber,0.99999,Poseidon